Cost information,IDB study,Journal Rank,assigned_project_user,authors,cells,confidence_rating,continents,countries,doi,evaluation_method,evidence_types,id,income_level,intervention_ids,intervention_labels,journal_name,keywords_string,outcome_ids,outcome_labels,publication_of_type,publication_of_type_short,record_id,status,study_status,title,type,url,year_of_publication
None,No,Q1,,"Ridgeway, Greg; MacDonald, John M.","[""Urban trains (subways, passenger trains, LRT, metros) | Crime and citizen security""]",,"[""North America""]","[""United States""]",10.1007/s10940-016-9296-7,Fixed effects (incl. DiD),"[""Impact evaluations""]",33458,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",JOURNAL OF QUANTITATIVE CRIMINOLOGY,,"[""2200""]","[""Crime and citizen security""]",Journal article,JOUR,33458,Published EGM,completed,Effect of Rail Transit on Crime: A Study of Los Angeles from 1988 to 2014,ier,https://link.springer.com/article/10.1007/s10940-016-9296-7,2017
Cost information (program costs and/or cost per participant),No,Q1,,"Billings, Stephen; Leland, Suzanne; Swindell, David","[""Urban trains (subways, passenger trains, LRT, metros) | Crime and citizen security""]",,"[""North America""]","[""United States""]",10.1111/j.1467-9906.2011.00564.x,Fixed effects (incl. DiD),"[""Impact evaluations""]",33294,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",Journal of Urban Affairs,,"[""2200""]","[""Crime and citizen security""]",Journal article,JOUR,33294,Published EGM,completed,The Effects of the Announcement and Opening of Light Rail Transit Stations on Neighborhood Crime,ier,https://www.tandfonline.com/doi/full/10.1111/j.1467-9906.2011.00564.x,2011
None,No,Q1,,"Herrmann, Christopher; Maroko, Andrew; Taniguchi, Travis","[""Urban trains (subways, passenger trains, LRT, metros) | Crime and citizen security""]",,"[""North America""]","[""United States""]",10.1007/s10610-020-09476-x,Fixed effects (incl. DiD),"[""Impact evaluations""]",33819,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",EUROPEAN JOURNAL ON CRIMINAL POLICY AND RESEARCH,,"[""2200""]","[""Crime and citizen security""]",Journal article,JOUR,33819,Published EGM,completed,Subway Station Closures and Robbery Hot Spots in New York City-Understanding Mobility Factors and Crime Reduction,ier,https://link.springer.com/article/10.1007/s10610-020-09476-x,2021
None,No,Q2,,"Canales, Kristine Laura; Nilsson, Isabelle; Delmelle, Elizabeth","[""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes""]",,"[""North America""]","[""United States""]",10.1111/rsp3.12184,Fixed effects (incl. DiD),"[""Impact evaluations""]",33517,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",REGIONAL SCIENCE POLICY AND PRACTICE,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33517,Published EGM,completed,"Do Light Rail Transit Investments Increase Employment Opportunities? The Case of Charlotte, North Carolina",ier,https://www.sciencedirect.com/science/article/pii/S1757780223003451,2019
None,No,Q1,,"Tyndall, Justin","[""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes""]",,"[""North America""]","[""United States""]",10.1177/0042098015594079,Fixed effects (incl. DiD),"[""Impact evaluations""]",33480,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",Urban Studies,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33480,Published EGM,completed,Waiting for the R Train: Public Transportation and Employment,ier,https://journals.sagepub.com/doi/10.1177/0042098015594079,2017
None,No,Q1,,"Albalate, Daniel","[""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes"", ""Highways and national roads | Employment access and outcomes"", ""Railways and intermunicipal trains | Employment access and outcomes""]",,"[""Europe and Central Asia""]","[""Multi-country""]",https://doi.org/10.1080/00343404.2015.1041371,Instrumental variable estimation,"[""Impact evaluations""]",34356,[],"[""2155"", ""2163"", ""2164""]","[""Urban trains (subways, passenger trains, LRT, metros)"", ""Highways and national roads"", ""Railways and intermunicipal trains""]",Regional Studies,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,34356,Published EGM,completed,High-Technology Employment and Transportation: Evidence from the European Regions,ier,https://www.tandfonline.com/doi/full/10.1080/00343404.2015.1041371,2016
None,No,Q1,,"Bastiaanssen, Jeroen; Johnson, Daniel; Lucas, Karen","[""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes"", ""Active mobility (pedestrian, bicycles, etc.) | Employment access and outcomes"", ""Multi-component urban mobility infrastructure | Employment access and outcomes""]",,"[""Europe and Central Asia""]","[""Netherlands""]",10.1016/j.tra.2025.104398,Instrumental variable estimation,"[""Impact evaluations""]",33237,"[""High income""]","[""2155"", ""2158"", ""2205""]","[""Urban trains (subways, passenger trains, LRT, metros)"", ""Active mobility (pedestrian, bicycles, etc.)"", ""Multi-component urban mobility infrastructure""]",TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33237,Published EGM,completed,The Relationship Between Individual Employment Probabilities and Accessibility to Matching Jobs: A Study of the Netherlands,ier,https://pdf.sciencedirectassets.com/271795/1-s2.0-S0965856425X00021/1-s2.0-S0965856425000266/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEB8aCXVzLWVhc3QtMSJIMEYCIQDRJIeJJhFvAm3J%2BWZ28ibtpFuNZawOfOZSoD4WR8jF%2BwIhAPS1qwut5j9NUCLkcAX4rax9iG65UD8%2F246L%2FPpglJNEKrwFCJj%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQBRoMMDU5MDAzNTQ2ODY1IgzJ7jau5qKPO7i0qw4qkAUSMoZJgut6Y8ry%2BvgtSS3jxy7cc7%2BRoAhfwKoBicefVV2hVUO53tUQv3KWMsp7h7LBM1l0TGJiLi8QvJiGV3nEPoZD8WzzjMsnJ6QGQvRKXtUTRwMegOt%2FweVOY4lgwGtK5ivTQfC0%2FdC%2FX3HgRmM6hv07f2IA1si%2BNNI2girJig5xhw6BEcefGOOGI%2BttRtW74JfWDE0u6XPIPubkH28Z70r28xj9OIgZqvK4i41vK0qNBK7ELpIFHoaw78h4XMxXUUpeCzXlasHw%2F8qct8JuIhKeexZiDa0aiUfE%2F1ucS1Q6ECC1ZdoqVeBG7HfzbUGYjW2TgpUt4bIS57j0U8329S1dj3BYEu57hFBua0Y%2FrHDnL%2FHPFvlp4xlzG6rHSg%2BPXFR8z4Goql%2FYBBIlNTcVaYGV68o1jGuvH%2FGaruwaAV33bgAwOQZpq0SX9fYrSuXfY7ZQAoSFT4DIdMOolsIo8d6ZjybeM8Wa0kma7I%2BHHlr%2FEDyYOrXeZjHmWIbfrDmaiZKHn%2Bx4Jk3Hfc5c7QNQf7deaHJALj5VqFG6TXc8gi3cZYas92sNuzEFRH9UO4NfvBSiyWUfkYxiaBh%2BVsbSOq1D3dhz0Zn9Xw%2B2MectX61lH0rI5apETPWWG6O8RJsR7wgmC3I8BhbdX2V%2BGxrGoW7EPOsHd5QddJn3q646zSVCvOgyeD8Ml9hSe62ceczKrfBc4YQ9tCIzYMCwAUCg36syxlw4zpc3Ep%2BSaCxWopZLJpZh%2Fp13Xkw9fHhK2p7%2BSAKXuKLVNyUN1Z%2BlpkE62Uwl%2Fc1gEp8iVn58EC%2BD%2BiKgSkLgwcJVI94utu2PXvcbgl6iSXdIuiJZDMzt5EVffAUmo9GbPoEdlvNIEgntMDD%2F1qfGBjqwAQLv9Bv325UVre%2B8gV2SjgLg%2BeJrM8ctya6Xy3lt0xlQnrQwTM%2Fs7T%2B5MI%2Bw%2BcLQ4gG6UC7P%2FyU%2F3wmTM3zb17HnNmZcX7NzI1FZa69tDQmvD980dUVFn0OXMomkXkaWJbPWIhOXUnfqM1bqcwO3ySEHGHzF%2FOF9LjmDpbja2%2FSp2ov7yluxo%2BVZM0dPO5U1VL0Q%2BTIuGyCZzNibwqFY3LUEbjHQ5IgsnOecLYpdB0FY&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20250916T233546Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYVVNFJ57W%2F20250916%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a38d7d14c9a75f46a195c1e104b5df7bce308ae1b8d96980ca9091f4740e7a7f&hash=eaaca71732c6ec4622a04b8873459014de66bf7e06acfe3f2b6e9bdba9e07d79&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0965856425000266&tid=spdf-8b526e15-dedd-42ad-a952-883de8bd00ec&sid=de8d2f2c29a741458c591fa911257aed05b0gxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&rh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=19095c5b575b52070f5508&rr=98042ea0faaab6f5&cc=co,2025
None,No,Q1,,"Salov, Anton; Semerikova, Elena","[""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes""]",,"[""Europe and Central Asia""]","[""France""]",10.1177/23998083231202551,Instrumental variable estimation,"[""Impact evaluations""]",33631,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33631,Published EGM,completed,Transportation and Urban Spatial Structure: Evidence from Paris,ier,https://journals.sagepub.com/doi/abs/10.1177/23998083231202551,2024
Cost information (program costs and/or cost per participant),No,Q1,,"Pogonyi, Csaba. G.; Graham, Daniel, J.; Carbo, Jose, M.","[""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Economic activity""]",,"[""Europe and Central Asia""]","[""United Kingdom""]",10.1016/j.regsciurbeco.2021.103681,Fixed effects (incl. DiD),"[""Impact evaluations""]",33618,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",REGIONAL SCIENCE AND URBAN ECONOMICS,,"[""2201"", ""2202""]","[""Employment access and outcomes"", ""Economic activity""]",Journal article,JOUR,33618,Published EGM,completed,"Metros, Agglomeration and Displacement. Evidence from London",ier,https://www.sciencedirect.com/science/article/abs/pii/S0166046221000417?via%3Dihub,2021
Cost information (program costs and/or cost per participant),No,Q1,,"Sari, Florent","[""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes""]",,"[""Europe and Central Asia""]","[""France""]",10.1016/j.tra.2015.04.015,Fixed effects (incl. DiD),"[""Impact evaluations""]",33632,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33632,Published EGM,completed,Public Transit and Labor Market Outcomes: Analysis of The Connections in The French Agglomeration of Bordeaux,ier,https://www.sciencedirect.com/science/article/abs/pii/S0965856415001019?via%3Dihub,2015
None,No,Q1,,"Tyndall, Justin","[""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes""]",,"[""North America""]","[""United States""]",10.1016/j.jue.2021.103350,Instrumental variable estimation,"[""Impact evaluations""]",33650,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",JOURNAL OF URBAN ECONOMICS,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33650,Published EGM,completed,The local labour market effects of light rail transit,ier,https://www.sciencedirect.com/science/article/pii/S0094119021000322?casa_token=Jd_KnjEFBQYAAAAA:HP-pF-wsjS4ZRmlRmJjVNHmlzFYaxRA98QBz5_NYTyyRY3k8JF2xMYVPmQxNH-tdkQ70tX2ccn8,2021
None,No,Q1,,"Forouhar, Amir","[""Urban trains (subways, passenger trains, LRT, metros) | Employment access and outcomes"", ""Urban trains (subways, passenger trains, LRT, metros) | Economic activity"", ""Urban trains (subways, passenger trains, LRT, metros) | Trade and migration"", ""Urban trains (subways, passenger trains, LRT, metros) | Household welfare and poverty""]",,"[""Middle East and North Africa""]","[""Iran, Islamic Rep.""]",10.1016/j.jtrangeo.2022.103389,Fixed effects (incl. DiD),"[""Impact evaluations""]",34465,"[""Lower middle income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",Journal of Transport Geography,Metro Rail System|| Tehran City|| Mixed-Methods Research|| neighborhood change,"[""2201"", ""2202"", ""2203"", ""2361""]","[""Employment access and outcomes"", ""Economic activity"", ""Trade and migration"", ""Household welfare and poverty""]",Journal article,JOUR,34465,Published,completed,Rail Transit Station and Neighbourhood Change: A Mixed-Method Analysis With Respect to Neighbourhood Context,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/rail-transit-station-and-neighbourhood-change--a-mixed-method-analysis-with-respect-to-neighbourhood-context/34465,2022
None,No,Q1,,"Ke, Yue; Gkritza, Konstantina","[""Urban trains (subways, passenger trains, LRT, metros) | Household welfare and poverty""]",,"[""North America""]","[""United States""]",10.1016/j.jtrangeo.2019.03.011,Fixed effects (incl. DiD),"[""Impact evaluations""]",33398,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",JOURNAL OF TRANSPORT GEOGRAPHY,,"[""2361""]","[""Household welfare and poverty""]",Journal article,JOUR,33398,Published EGM,completed,"Light rail transit and housing markets in Charlotte-Mecklenburg County, North Carolina: Announcement and operations effects using quasi-experimental methods",ier,https://www.sciencedirect.com/science/article/pii/S096669231830228X?casa_token=8W1fnA0hkSQAAAAA:66-QDZgy530tih6VibJPg3GN6AYQe44I4sD9ql5R0PxXld_D8aZTGnzsYOMKG6uRKOojJEu8Cm0,2019
None,No,Q1,,"Heikmann, Kilian","[""Urban trains (subways, passenger trains, LRT, metros) | Economic activity""]",,"[""North America""]","[""United States""]",10.1016/j.regsciurbeco.2018.10.007,Fixed effects (incl. DiD),"[""Impact evaluations""]",33544,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",REGIONAL SCIENCE AND URBAN ECONOMICS,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33544,Published EGM,completed,Transit Access and Neighborhood Segregation. Evidence from the Dallas Light Rail System,ier,https://www.sciencedirect.com/science/article/pii/S0166046218301066?casa_token=EuqKaQnlyJYAAAAA:skaRvDEVtt2SoqXhRDJCC05Dv92BwD9yw6_0U2u_tMBpwzZKkxUuemKTDWYLI-GkkDq0wNjjWhk,2018
None,No,Q1,,"Hebloch, Stephan; Redding, Stephen; Sturm, Daniel","[""Urban trains (subways, passenger trains, LRT, metros) | Economic activity""]",,"[""Europe and Central Asia""]","[""United Kingdom""]",10.1093/qje/qjaa014,Fixed effects (incl. DiD),"[""Impact evaluations""]",33389,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",QUARTERLY JOURNAL OF ECONOMICS,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33389,Published EGM,completed,THE MAKING OF THE MODERN METROPOLIS: EVIDENCE FROM LONDON,ier,https://academic.oup.com/qje/article-abstract/135/4/2059/5831735,2020
None,No,Q1,,"Credit, Kevin","[""Urban trains (subways, passenger trains, LRT, metros) | Economic activity""]",,"[""North America""]","[""United States""]",10.1177/0042098017724119,Fixed effects (incl. DiD),"[""Impact evaluations""]",33333,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",URBAN STUDIES,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33333,Published EGM,completed,"Transit-oriented Economic Development: The impact of Light Rail on New Business Starts in the Phoenix, AZ Region, USA",ier,https://journals.sagepub.com/doi/full/10.1177/0042098017724119?casa_token=HMF9tNgkME8AAAAA%3AKx5WXrylNYjzIaHNgMOyuuEOWrr9QzAPJpJj2u8XH0QPgEQxX0bw4Pkm2sjz5X-ZH1iDS_soIu9L1w,2018
None,No,Q1,,"Ray, Rosalie","[""Urban trains (subways, passenger trains, LRT, metros) | Economic activity""]",,"[""North America""]","[""United States""]",10.5198/jtlu.2017.932,Fixed effects (incl. DiD),"[""Impact evaluations""]",33626,"[""High income""]","[""2155""]","[""Urban trains (subways, passenger trains, LRT, metros)""]",JOURNAL OF TRANSPORT AND LAND USE,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33626,Published EGM,completed,Open for Business? Effects of Los Angeles Metro Rail Construction on Adjacent Businesses,ier,https://www.jtlu.org/index.php/jtlu/article/view/932,2017
None,No,Q1,,"Zhou Y; Zhang, Lingzhu; Chiaradia, Alain","[""Urban trains (subways, passenger trains, LRT, metros) | Economic activity"", ""Active mobility (pedestrian, bicycles, etc.) | Economic activity"", ""Urban roads | Economic activity""]",,"[""East Asia and Pacific""]","[""Hong Kong SAR, China""]",10.1016/j.tra.2022.05.014,Instrumental variable estimation,"[""Impact evaluations""]",33688,"[""High income""]","[""2155"", ""2158"", ""2159""]","[""Urban trains (subways, passenger trains, LRT, metros)"", ""Active mobility (pedestrian, bicycles, etc.)"", ""Urban roads""]",TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33688,Published EGM,completed,Estimating Wider Economic Impacts of Transport Infrastructure Investment: Evidence From Accessibility Disparity in Hong Kong,ier,https://www.sciencedirect.com/science/article/abs/pii/S0965856422001355,2022
None,No,Q1,,"Ossokina, Ioulia V.; Verweij, Gerard","[""Highways and national roads | Travel time, commuting and speed"", ""Highways and national roads | Land, housing, and rent prices and affordability""]",,"[""Europe and Central Asia""]","[""Netherlands""]",https://doi.org/10.1016/j.regsciurbeco.2015.08.002,Fixed effects (incl. DiD),"[""Impact evaluations""]",33436,"[""High income""]","[""2163""]","[""Highways and national roads""]",Regional Science and Urban Economics,,"[""2181"", ""2194""]","[""Travel time, commuting and speed"", ""Land, housing, and rent prices and affordability""]",Journal article,JOUR,33436,Published EGM,completed,Urban Traffic Externalities: Quasi-Experimental Evidence from Housing Prices,ier,https://www.sciencedirect.com/science/article/pii/S0166046215000666,2015
None,No,Q1,,"Michaels, Guy","[""Highways and national roads | Travel time, commuting and speed"", ""Highways and national roads | Employment access and outcomes"", ""Highways and national roads | Economic activity""]",,"[""North America""]","[""United States""]",10.1162/rest.90.4.683,Instrumental variable estimation,"[""Impact evaluations""]",33423,"[""High income""]","[""2163""]","[""Highways and national roads""]",The Review of Economics and Statistics,,"[""2181"", ""2201"", ""2202""]","[""Travel time, commuting and speed"", ""Employment access and outcomes"", ""Economic activity""]",Journal article,JOUR,33423,Published EGM,completed,The Effect of Trade on the Demand for Skill: Evidence from the Interstate Highway System,ier,https://direct.mit.edu/rest/article-abstract/90/4/683/57872/The-Effect-of-Trade-on-the-Demand-for-Skill?redirectedFrom=fulltext,2008
None,No,Q1,,"Harleman, Max; Harris, Lena; Willis, Mary D.; Ritz, Beate; Hystad, Perry; Hill, Elaine","[""Highways and national roads | Travel time, commuting and speed"", ""Highways and national roads | Air pollution and greenhouse gases""]",,"[""North America""]","[""United States""]",10.1016/j.scitotenv.2023.165463,Fixed effects (incl. DiD),"[""Impact evaluations""]",33387,"[""High income""]","[""2163""]","[""Highways and national roads""]",SCIENCE OF THE TOTAL ENVIRONMENT,,"[""2181"", ""2192""]","[""Travel time, commuting and speed"", ""Air pollution and greenhouse gases""]",Journal article,JOUR,33387,Published EGM,completed,Changes in Traffic Congestion and Air Pollution Due to Major Roadway Infrastructure Improvements in Texas,ier,https://www.sciencedirect.com/science/article/pii/S004896972304086X?casa_token=UJIFg_kW-5EAAAAA:2d9TO1PeM8-KN2SjRNXyITqp1zy_dluMxZlv2bezd-t39DjU8UN9EwdBRpryaaxq-AWdJnqs,2023
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Heuermann, Daniel; Schmieder, Johannes","[""Highways and national roads | Rail services access and use"", ""Highways and national roads | Travel time, commuting and speed""]",,"[""Europe and Central Asia""]","[""Germany""]",10.1093/jeg/lby019,Instrumental variable estimation,"[""Impact evaluations""]",34516,"[""High income""]","[""2163""]","[""Highways and national roads""]",JOURNAL OF ECONOMIC GEOGRAPHY,,"[""2179"", ""2181""]","[""Rail services access and use"", ""Travel time, commuting and speed""]",Journal article,JOUR,34516,Published EGM,completed,The effect of infrastructure on worker mobility: evidence from high-speed rail expansion in Germany,ier,https://academic.oup.com/joeg/article-abstract/19/2/335/4974876?redirectedFrom=fulltext,2019
Cost-benefit/cost-effectiveness analyses,No,Q1,,"Allen, Treb; ARKOLAKIS, COSTAS","[""Highways and national roads | Travel time, commuting and speed"", ""Highways and national roads | Goods and services prices and inflation"", ""Highways and national roads | Economic activity""]",,"[""North America""]","[""United States""]",10.1093/restud/rdac001,Instrumental variable estimation,"[""Impact evaluations""]",33854,"[""High income""]","[""2163""]","[""Highways and national roads""]",REVIEW OF ECONOMIC STUDIES,,"[""2181"", ""2195"", ""2202""]","[""Travel time, commuting and speed"", ""Goods and services prices and inflation"", ""Economic activity""]",Journal article,JOUR,33854,Published EGM,completed,The Welfare Effects of Transportation Infrastructure Improvements,ier,https://academic.oup.com/restud/article-abstract/89/6/2911/6519332?redirectedFrom=fulltext,2022
Cost information (program costs and/or cost per participant),No,Q1,,"Baehr, Christian; Benyishay, Ariel; Parks, Brad","[""Highways and national roads | Travel time, commuting and speed""]",,"[""East Asia and Pacific""]","[""Cambodia""]",https://doi.org/10.1016/j.jeem.2023.102898,Fixed effects (incl. DiD),"[""Impact evaluations""]",29432,"[""Low income""]","[""2163""]","[""Highways and national roads""]",Journal of Environmental Economics and Management,DEFORESTATION|| Infrastructure|| China,"[""2181""]","[""Travel time, commuting and speed""]",Journal article,JOUR,29432,Published,completed,Highway to the Forest? Land Governance and the Siting and Environmental impacts of Chinese Government-Funded Road Building in Cambodia,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/highway-to-the-forest--land-governance-and-the-siting-and-environmental-impacts-of-chinese-government-funded-road-building-in-cambodia/29432,2023
Cost-benefit/cost-effectiveness analyses,No,Q1,,"Ossokina, Ioulia, V.; van Ommeren, Jos; van Mourik, Henk","[""Highways and national roads | Private vehicle use"", ""Highways and national roads | Travel time, commuting and speed"", ""Highways and national roads | Employment access and outcomes"", ""Highways and national roads | Economic activity""]",,"[""Europe and Central Asia""]","[""Netherlands""]",10.1093/jeg/lbac034,Instrumental variable estimation,"[""Impact evaluations""]",33610,"[""High income""]","[""2163""]","[""Highways and national roads""]",JOURNAL OF ECONOMIC GEOGRAPHY,,"[""2178"", ""2181"", ""2201"", ""2202""]","[""Private vehicle use"", ""Travel time, commuting and speed"", ""Employment access and outcomes"", ""Economic activity""]",Journal article,JOUR,33610,Published EGM,completed,Do Highway Widenings Reduce Congestion?,ier,https://academic.oup.com/joeg/article/23/4/871/6901322,2023
None,No,Q1,,"Montolio, Daniel; Solé-Ollé, Albert","[""Urban roads | Travel time, commuting and speed"", ""Urban roads | Economic activity"", ""Highways and national roads | Travel time, commuting and speed"", ""Highways and national roads | Economic activity""]",,"[""Europe and Central Asia""]","[""Spain""]",10.1111/j.1435-5957.2008.00167.x,Instrumental variable estimation,"[""Impact evaluations""]",33598,"[""High income""]","[""2159"", ""2163""]","[""Urban roads"", ""Highways and national roads""]",PAPERS IN REGIONAL SCIENCE,,"[""2181"", ""2202""]","[""Travel time, commuting and speed"", ""Economic activity""]",Journal article,JOUR,33598,Published EGM,completed,Road Investment and Regional Productivity Growth: The Effects of Vehicle Intensity and Congestion,ier,https://www.sciencedirect.com/science/article/pii/S1056819023014537?via%3Dihub,2009
None,No,Q1,,"Morten, Melanie; Oliveira, Jaqueline","[""Highways and national roads | Travel time, commuting and speed"", ""Highways and national roads | Trade and migration""]",,"[""Latin America and Caribbean""]","[""Brazil""]",10.1257/app.20180487,Instrumental variable estimation,"[""Impact evaluations""]",33599,"[""Upper middle income""]","[""2163""]","[""Highways and national roads""]",American Economic Journal: Applied Economics,Role Of Infrastructure|| Trade Outcomes|| BRAZIL|| Highways|| Migration,"[""2181"", ""2203""]","[""Travel time, commuting and speed"", ""Trade and migration""]",Journal article,JOUR,33599,Published,completed,The Effects of Roads on Trade and Migration: Evidence from a Planned Capital City,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-effects-of-roads-on-trade-and-migration--evidence-from-a-planned-capital-city/33599,2024
None,No,Q1,,"Melecky, Martin; Sharma, Siddharth; Subhash, Hari","[""Highways and national roads | Air pollution and greenhouse gases"", ""Highways and national roads | Employment access and outcomes"", ""Highways and national roads | Economic activity""]",,"[""South Asia""]","[""India""]",10.1017/S1355770X23000177,Fixed effects (incl. DiD),"[""Impact evaluations""]",34472,"[""Low income""]","[""2163""]","[""Highways and national roads""]",Environment and Development Economics,,"[""2192"", ""2201"", ""2202""]","[""Air pollution and greenhouse gases"", ""Employment access and outcomes"", ""Economic activity""]",Journal article,JOUR,34472,Published,completed,"Boosted Income, Busted Environment: A Tradeoff in the Wider Economic Impacts of Transport Corridor Investments?",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/boosted-income--busted-environment--a-tradeoff-in-the-wider-economic-impacts-of-transport-corridor-investments-/34472,2024
Cost-benefit/cost-effectiveness analyses,No,Q1,,"Ang, Amanda; Christensen, Peter; Vieira, Renato","[""Highways and national roads | Transport safety"", ""Highways and national roads | Air pollution and greenhouse gases""]",,"[""Latin America and Caribbean""]","[""Brazil""]",10.1016/j.jpubeco.2020.104155,Fixed effects (incl. DiD),"[""Impact evaluations""]",33513,"[""Upper middle income""]","[""2163""]","[""Highways and national roads""]",JOURNAL OF PUBLIC ECONOMICS,speed limit changes|| Road accident|| TRANSPORTATION|| Congestion,"[""2183"", ""2192""]","[""Transport safety"", ""Air pollution and greenhouse gases""]",Journal article,JOUR,33513,Published,completed,"Should Congested Cities Reduce their Speed Limits? Evidence from Sao Paulo, Brazil",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/should-congested-cities-reduce-their-speed-limits--evidence-from-sao-paulo--brazil/33513,2020
None,No,Q1,,"Bock, Margaret; Cardazzi, Alexander; Humphreys, Brad R.","[""Highways and national roads | Transport safety""]",,"[""North America""]","[""United States""]",10.1016/j.jue.2025.103786,Fixed effects (incl. DiD),"[""Impact evaluations""]",34449,"[""High income""]","[""2163""]","[""Highways and national roads""]",Journal of Urban Economics,,"[""2183""]","[""Transport safety""]",Journal article,JOUR,34449,Published EGM,completed,Where the Rubber Meets the Road: Pavement Damage Reduces Traffic Safety and Speed,ier,https://doi.org/10.1016/j.jue.2025.103786,2025
None,No,Q2,,"Sayed, Tarek; deLeur, Paul; Pump, John","[""Highways and national roads | Transport safety""]",,"[""North America""]","[""Canada""]",10.3141/2148-02,Fixed effects (incl. DiD),"[""Impact evaluations""]",33895,"[""High income""]","[""2163""]","[""Highways and national roads""]",TRANSPORTATION RESEARCH RECORD,,"[""2183""]","[""Transport safety""]",Journal article,JOUR,33895,Published EGM,completed,"Impact of Rumble Strips on Collision Reduction on Highways in British Columbia, Canada Comprehensive Before-and-After Safety Study",ier,https://journals.sagepub.com/doi/abs/10.3141/2148-02,2010
None,No,"Not indexed / Other (grey literature, working papers, dissertations, reports)",,"Pérez, Ignacio","[""Highways and national roads | Transport safety""]",,"[""Europe and Central Asia""]","[""Spain""]",10.1016/j.aap.2005.09.008,Fixed effects (incl. DiD),"[""Impact evaluations""]",33617,"[""High income""]","[""2163""]","[""Highways and national roads""]",ACCIDENT ANALYSIS AND PREVENTION,,"[""2183""]","[""Transport safety""]",Journal article,JOUR,33617,Published EGM,completed,Safety Impact of Engineering Treatments on Undivided Rural Roads,ier,https://www.sciencedirect.com/science/article/abs/pii/S0001457505001533?via%3Dihub,2006
