assigned_project_user,authors,cells,confidence_rating,continents,countries,doi,evidence_types,id,intervention_ids,intervention_labels,journal_name,keywords_string,outcome_ids,outcome_labels,publication_of_type,publication_of_type_short,record_id,status,study_status,title,type,url,year_of_publication
,"Terry, Ryan; Yasar, Mahmut; Li, Jianling","[""Highways and national roads | Employment access and outcomes""]",,"[""North America""]","[""United States""]",10.1080/03081060.2021.1956810,"[""Impact evaluations""]",33647,"[""2163""]","[""Highways and national roads""]",TRANSPORTATION PLANNING AND TECHNOLOGY,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33647,Published EGM,Completed,Who Benefits More? The Heterogeneous Impact of Highways on Employment Growth,ier,https://www.tandfonline.com/doi/full/10.1080/03081060.2021.1956810?casa_token=WdbRXyx_P18AAAAA%3AYTPxISVCQd41WIYkXDzjoK76x23CTPKwfx0-BCPD5_RdZijy1hte9GoUFGNfc454BsSRWCYc3cqjsQ,2021
,"Moeller, Joachim; Zierer, Marcus","[""Highways and national roads | Employment access and outcomes""]",,"[""Europe and Central Asia""]","[""Germany""]",10.1016/j.jue.2017.10.002,"[""Impact evaluations""]",33874,"[""2163""]","[""Highways and national roads""]",JOURNAL OF URBAN ECONOMICS,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33874,Published EGM,Completed,Autobahns and Jobs: A Regional Study Using Historical Instrumental Variables,ier,https://www.sciencedirect.com/science/article/pii/S0094119017300815,2018
,"Gupta, Saurabh","[""Highways and national roads | Employment access and outcomes""]",,"[""South Asia""]","[""India""]",NO DOI,"[""Impact evaluations""]",34397,"[""2163""]","[""Highways and national roads""]",the University of Oregon,female labor force participation (FLFP)|| Rural India|| Golden Quadrilateral,"[""2201""]","[""Employment access and outcomes""]",Thesis,Thesis,34397,Published,Completed,National Highways and Female Labor Force Participation,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/national-highways-and-female-labor-force-participation/34397,2022
,"Jiwattanakulpaisarn, Piyapong; Noland, Robert; Graham, Daniel; Polak, John","[""Highways and national roads | Employment access and outcomes""]",,"[""North America""]","[""United States""]",10.1111/j.1435-5957.2008.00205.x,"[""Impact evaluations""]",33826,"[""2163""]","[""Highways and national roads""]",PAPERS IN REGIONAL SCIENCE,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33826,Published EGM,Completed,Highway Infrastructure and State-Level Employment: A Causal Spatial Analysis,ier,https://www.sciencedirect.com/science/article/pii/S1056819023014409,2009
,"Brooks, Wyatt; Kaboski, Joseph P.; Kondo, Illenin O.; Li, Yao; Qian, Weijin","[""Highways and national roads | Employment access and outcomes"", ""Highways and national roads | Economic activity""]",,"[""South Asia""]","[""India""]",10.1057/s41308-021-00144-6,"[""Impact evaluations""]",34376,"[""2163""]","[""Highways and national roads""]",IMF ECONOMIC REVIEW,India|| Highways|| Golden Quadrilateral|| Firms,"[""2201"", ""2202""]","[""Employment access and outcomes"", ""Economic activity""]",Published working paper,RPRT,34376,Published,Completed,Infrastructure Investment and Labor Monopsony Power,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/infrastructure-investment-and-labor-monopsony-power/34376,2021
,"Stringer, Thomas; Joanis, Marcelin","[""Highways and national roads | Employment access and outcomes"", ""Highways and national roads | Economic activity""]",,"[""North America""]","[""Canada""]",10.7202/1094687ar,"[""Impact evaluations""]",33641,"[""2163""]","[""Highways and national roads""]",Canadian Journal of Regional Science,,"[""2201"", ""2202""]","[""Employment access and outcomes"", ""Economic activity""]",Journal article,JOUR,33641,Published EGM,Completed,The Impact of Road Connection on Employment and Education in Northern Canada,ier,https://www.erudit.org/en/journals/cjrs/2022-v45-n3-cjrs07537/1094687ar/abstract/,2022
,"Leigh, Andrew; Neill, Christine","[""Highways and national roads | Employment access and outcomes""]",,"[""East Asia and Pacific""]","[""Australia""]",10.1016/j.econlet.2011.05.037,"[""Impact evaluations""]",33833,"[""2163""]","[""Highways and national roads""]",Economics Letters,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33833,Published EGM,Completed,Can National Infrastructure Spending Reduce Local Unemployment? Evidence from an Australian Roads Program,ier,https://www.sciencedirect.com/science/article/abs/pii/S016517651100214X,2011
,"Li, Jianling; Whitaker, Elizabeth","[""Highways and national roads | Employment access and outcomes""]",,"[""North America""]","[""United States""]",10.1016/j.tra.2018.04.023,"[""Impact evaluations""]",33834,"[""2163""]","[""Highways and national roads""]",TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,33834,Published EGM,Completed,The Impact of Governmental Highway Investments on Local Economic Outcome in the Post-Highway Era,ier,https://www.sciencedirect.com/science/article/abs/pii/S0965856416307625,2018
,"Chakrabarti, Sandip","[""Highways and national roads | Employment access and outcomes""]",,"[""South Asia""]","[""India""]",10.1016/j.tranpol.2018.05.009,"[""Impact evaluations""]",18652,"[""2163""]","[""Highways and national roads""]",Transport Policy,Economic development|| Transportation|| Employment growth|| Highway development|| Transport policy,"[""2201""]","[""Employment access and outcomes""]",Journal article,JOUR,18652,Published,Completed,Can Highway Development Promote Employment Growth in India?,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/can-highway-development-promote-employment-growth-in-india-/18652,2018
,"Garcia-Lopez, Miquel Ángel; Holl, Adelheid; Viladecans-Marsal, Elisabet","[""Highways and national roads | Economic activity""]",,"[""Europe and Central Asia""]","[""Spain""]",10.1016/j.jue.2014.11.002,"[""Impact evaluations""]",33530,"[""2163""]","[""Highways and national roads""]",Journal of Urban Economics,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33530,Published EGM,Completed,Suburbanization and Highways in Spain When the Romans and the Bourbons Still Shape Its Cities,ier,https://www.sciencedirect.com/science/article/abs/pii/S0094119014000953?via%3Dihub#bfn2,2015
,"Agrawal, Ajay; Galasso, Alberto; Oettl, Alexander","[""Highways and national roads | Economic activity""]",,"[""North America""]","[""United States""]",10.1162/REST_a_00619,"[""Impact evaluations""]",34521,"[""2163""]","[""Highways and national roads""]",REVIEW OF ECONOMICS AND STATISTICS,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,34521,Published EGM,Completed,Roads and Innovation,ier,https://direct.mit.edu/rest/article-abstract/99/3/417/58443/Roads-and-Innovation?redirectedFrom=fulltext,2017
,"Percoco, Marco","[""Highways and national roads | Economic activity""]",,"[""Europe and Central Asia""]","[""Italy""]",10.1093/jeg/lbv031,"[""Impact evaluations""]",34477,"[""2163""]","[""Highways and national roads""]",Journal of Economic Geography,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,34477,Published EGM,Completed,"Highways, Local Economic Structure and Urban Development",ier,https://academic.oup.com/joeg/article-abstract/16/5/1035/2412491,2016
,"Russ, Jason; Berg, Claudia N.; Damania, Richard; Barra, Federico; Ali, Rubaba; Nash, John","[""Highways and national roads | Economic activity""]",,"[""Sub-Saharan Africa""]","[""Nigeria""]",,"[""Impact evaluations""]",34391,"[""2163""]","[""Highways and national roads""]",,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,34391,Published EGM,Completed,Evaluating Transport Infrastructure Projects in Low Data Environments: An Application to Nigeria,ier,https://www.tandfonline.com/doi/full/10.1080/00220388.2017.1308488?casa_token=omqFahMRVJgAAAAA%3ABnHhtsYQdwkjCSMy4EqFfYZXktcmWL26w--pT2rvy8DKo-NQfs98kH6Q8P5gyNi0eIdFlQjSrwhL7Q,2018
,"Holl, Adelheid; Mariotti, Ilaria","[""Highways and national roads | Economic activity""]",,"[""Europe and Central Asia""]","[""Spain""]",,"[""Impact evaluations""]",34416,"[""2163""]","[""Highways and national roads""]",,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,34416,Published EGM,Completed,Highways and firm performance in the logistics industry,ier,https://www.sciencedirect.com/science/article/pii/S0966692318300851?casa_token=qXvt45Syxc0AAAAA:30CjKT3TebAE9rYersQ23KoWYuEReQjLczp9bYQGkGy-C1eer3z5E1KsdFdFqRu-tClcTdH1wqk,2018
,"Marein, Brian","[""Highways and national roads | Economic activity""]",,"[""Latin America and Caribbean""]","[""Puerto Rico""]",10.1016/j.jue.2022.103492,"[""Impact evaluations""]",33868,"[""2163""]","[""Highways and national roads""]",JOURNAL OF URBAN ECONOMICS,,"[""2202""]","[""Economic activity""]",Thesis,Thesis,33868,Published EGM,Completed,Colonial Roads and Regional Inequality,ier,https://www.sciencedirect.com/science/article/abs/pii/S0094119022000699?via%3Dihub,2022
,"Datta, Saugato","[""Highways and national roads | Economic activity"", ""Highways and national roads | Trade and migration""]",,"[""South Asia""]","[""India""]",10.1016/j.jdeveco.2011.08.005,"[""Impact evaluations""]",6502,"[""2163""]","[""Highways and national roads""]",Journal of Development Economics,Infrastructure|| Highways|| Firms|| Inventory Management|| Supplier Relationships|| Enterprises|| Roads,"[""2202"", ""2203""]","[""Economic activity"", ""Trade and migration""]",Journal article,JOUR,6502,Published,Completed,The Impact Of Improved Highways On Indian Firms,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-impact-of-improved-highways-on-indian-firms/6502,2012
,Unidad de Análisis de Políticas Sociales y Económicas,"[""Highways and national roads | Economic activity"", ""Highways and national roads | Agricultural outcomes""]",,"[""Latin America and Caribbean""]","[""Bolivia""]",No DOI,"[""Impact evaluations""]",34390,"[""2163""]","[""Highways and national roads""]",not applicable,,"[""2202"", ""2204""]","[""Economic activity"", ""Agricultural outcomes""]",Published report,RPRT,34390,Published EGM,Completed,Impacto de la Infraestructura Vial Sobre el Crecimiento Económico Utilizando Imágenes Satelitales,ier,https://scioteca.caf.com/handle/123456789/1670,2020
,"Cucu, Florin","[""Highways and national roads | Economic activity"", ""Highways and national roads | Trade and migration""]",,"[""North America""]","[""United States""]",10.1016/j.jue.2024.103735,"[""Impact evaluations""]",33334,"[""2163""]","[""Highways and national roads""]",JOURNAL OF URBAN ECONOMICS,,"[""2202"", ""2203""]","[""Economic activity"", ""Trade and migration""]",Journal article,JOUR,33334,Published EGM,Completed,"Roads, Internal Migration and the Spatial Sorting of US High-Skill Workers",ier,https://www.sciencedirect.com/science/article/pii/S0094119024001050?casa_token=mLhqTVeEnPEAAAAA:ybHkjI2ADXzZRgrsx-vfJrFZB1yU-oPSFzmfGcnVOnaWNmvwGO8uuFPGyBlAJ7ga5pPU5v-j-qw,2025
,"Herzog, Ian","[""Highways and national roads | Economic activity""]",,"[""North America""]","[""United States""]",10.1016/j.jue.2020.103316,"[""Impact evaluations""]",33545,"[""2163""]","[""Highways and national roads""]",JOURNAL OF URBAN ECONOMICS,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33545,Published EGM,Completed,"National Transportation Networks, Market Access, and Regional Economic Growth",ier,https://www.sciencedirect.com/science/article/pii/S0094119020300875?casa_token=J8Z5rCeBKa4AAAAA:4pRLZa0ZaksbdfVM2Ii2PmVVBh12MqwW6D4K3O-ClwWib7lSXOkQvyprPWvVsXxcqa_mkaw0i_I,2021
,"Holl, Adelheid","[""Highways and national roads | Economic activity""]",,"[""Europe and Central Asia""]","[""Spain""]",https://www.sciencedirect.com/science/article/abs/pii/S0094119016300031,"[""Impact evaluations""]",33391,"[""2163""]","[""Highways and national roads""]",Journal of Urban Economics,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33391,Published EGM,Completed,Highways and Productivity in Manufacturing Firms,ier,https://www.sciencedirect.com/science/article/pii/S0094119016300031?casa_token=ICePhlo45okAAAAA:Dswb5f_DHgQYHd21Bn1U7Jxqp6JyV40NqB5SUcpsziNTe_3rpIC0HSAPdABqnsCQ_EwxMgcq-FQ,2016
,"Ruiz Arranz, Martha; Martin, Lucía; Lotti, Giulia; Bolaños, Francisco","[""Highways and national roads | Economic activity"", ""Bridges | Economic activity""]",,"[""Latin America and Caribbean""]","[""Costa Rica"", ""Mexico""]",NO DOI,"[""Impact evaluations""]",34488,"[""2163"", ""2166""]","[""Highways and national roads"", ""Bridges""]",Inter-American Development Bank (IDB),impact assessment|| Development projects|| Satellite imagery|| environmental impact|| Economic Growth|| portfolio analysis|| Mexico|| Costa Rica|| Inter-American Development Bank,"[""2202""]","[""Economic activity""]",Published report,RPRT,34488,Published,Completed,HUELLA Measuring the Impact of Development Projects,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/huella-measuring-the-impact-of-development-projects/34488,2025
,"Ghani, Ejaz; Goswami, Arti; Kerr, William R.","[""Highways and national roads | Economic activity""]",,"[""South Asia""]","[""India""]",10.1111/ecoj.12207,"[""Impact evaluations""]",34467,"[""2163""]","[""Highways and national roads""]",The Economic Journal,Highways|| India|| Manufacturing industry|| Golden Quadrilateral,"[""2202""]","[""Economic activity""]",Journal article,JOUR,34467,Published,Completed,Highway to Success: The Impact of the Golden Quadrilateral Project for the Location and Performance of Indian Manufacturing,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/highway-to-success--the-impact-of-the-golden-quadrilateral-project-for-the-location-and-performance-of-indian-manufacturing/34467,2016
,"Bird, Julia; Straub, Stephane","[""Highways and national roads | Economic activity""]",,"[""Latin America and Caribbean""]","[""Brazil""]",10.1016/j.worlddev.2019.104739,"[""Impact evaluations""]",34462,"[""2163""]","[""Highways and national roads""]",World Development,infrastructure|| Roads|| Agglomeration|| Brazil|| Growth population|| Economic growth,"[""2202""]","[""Economic activity""]",Journal article,JOUR,34462,Published,Completed,The Brasilia Experiment: The Heterogeneous Impact of Road Access on Spatial Development in Brazil,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-brasilia-experiment--the-heterogeneous-impact-of-road-access-on-spatial-development-in-brazil/34462,2020
,"Yemba, Bovick Wandja; Ribeiro, Rafael Saulo Marques; Medeiros, Victor","[""Highways and national roads | Economic activity""]",,"[""Sub-Saharan Africa""]","[""Multi-country""]",10.13133/2037-3643_73.294_4,"[""Impact evaluations""]",33676,"[""2163""]","[""Highways and national roads""]",PSL QUARTERLY REVIEW,Transport Infrastructure|| Productivity|| manufacturing,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33676,Published,Completed,Infrastructure and Manufacturing in Sub-Saharan Africa: An Empirical Analysis Using Dynamic Panel Data Models,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/infrastructure-and-manufacturing-in-sub-saharan-africa--an-empirical-analysis-using-dynamic-panel-data-models/33676,2020
,"Shiferaw, Admasu; Söderbom, Måns; Siba, Eyerusalem; Alemu, Getnet","[""Highways and national roads | Economic activity""]",,"[""Sub-Saharan Africa""]","[""Ethiopia""]",10.1080/00220388.2015.1056785,"[""Impact evaluations""]",33636,"[""2163""]","[""Highways and national roads""]",JOURNAL OF DEVELOPMENT STUDIES,Road Infrastructure|| Firm Entry|| Location choice|| startup-size,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33636,Published,Completed,Road Infrastructure and Enterprise Dynamics in Ethiopia,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/road-infrastructure-and-enterprise-dynamics-in-ethiopia/33636,2015
,"Mitnik, Oscar A.; Sanchez, Raul; Yañez-Pagans, Patricia","[""Highways and national roads | Economic activity""]",,"[""Latin America and Caribbean""]","[""Haiti""]",10.18235/0001474,"[""Impact evaluations""]",33596,"[""2163""]","[""Highways and national roads""]",Inter-American Development Bank (IDB),Haiti|| Night-time lights (NTL)|| Roads|| Transport Infrastructure|| Economic growth,"[""2202""]","[""Economic activity""]",Published working paper,RPRT,33596,Published,Completed,Bright Investments: Measuring the Impact of Transport Infrastructure Using Luminosity Data in Haiti,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/bright-investments--measuring-the-impact-of-transport-infrastructure-using-luminosity-data-in-haiti/33596,2018
,"Jedwab, Rémi; Storeygard, Adam","[""Highways and national roads | Economic activity"", ""Highways and national roads | Trade and migration""]",,"[""Sub-Saharan Africa""]","[""Multi-country""]",10.1093/jeea/jvab027,"[""Impact evaluations""]",33555,"[""2163""]","[""Highways and national roads""]",Journal of the European Economic Association,Economic integration|| Rural Roads|| Economic Activity,"[""2202"", ""2203""]","[""Economic activity"", ""Trade and migration""]",Journal article,JOUR,33555,Published,Completed,The Average and Heterogeneous Effects of Transportation Investments: Evidence from Sub-Saharan Africa 1960-2010,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-average-and-heterogeneous-effects-of-transportation-investments--evidence-from-sub-saharan-africa-1960-2010/33555,2022
,"Yoshino, Naoyuki; Pontines, Victor","[""Highways and national roads | Economic activity""]",,"[""East Asia and Pacific""]","[""Philippines""]",10.2139/ssrn.2697322,"[""Impact evaluations""]",33492,"[""2163""]","[""Highways and national roads""]",ADBI Working Paper,Highways|| STAR highway|| Public Finance|| Philippines,"[""2202""]","[""Economic activity""]",Published working paper,RPRT,33492,Published,Completed,The 'Highway Effect' on Public Finance: Case of the Star Highway in the Philippines,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the--highway-effect--on-public-finance--case-of-the-star-highway-in-the-philippines/33492,2015
,"Alder, Simon; Roberts, Mark; Tewari, Meenu","[""Highways and national roads | Economic activity""]",,"[""South Asia""]","[""India""]",999,"[""Impact evaluations""]",33471,"[""2163""]","[""Highways and national roads""]",Not specified,India|| Spatial Development|| Urbanization|| infrastructure|| market access environment,"[""2202""]","[""Economic activity""]",,,33471,Published,Completed,The Effects of Transport Infrastructure on India’s Urban and Rural Development,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-effects-of-transport-infrastructure-on-india’s-urban-and-rural-development/33471,2018
,"Alder, Simon; Croke, Kevin; Duhaut, Alice; Marty, Robert; Vaisey, Ariana","[""Highways and national roads | Economic activity""]",,"[""Sub-Saharan Africa""]","[""Ethiopia""]",10.1596/1813-9450-10000,"[""Impact evaluations""]",33470,"[""2163""]","[""Highways and national roads""]","World Bank Group, Development Research Group Impact Evaluation Team",ETHIOPIA|| RSDP|| Road network|| Economic Activity,"[""2202""]","[""Economic activity""]",Published report,RPRT,33470,Published,Completed,The Impact of Ethiopia’s Road Investment Program on Economic Development and Land Use,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-impact-of-ethiopia’s-road-investment-program-on-economic-development-and-land-use/33470,2022
,"Osmar, Bolívar","[""Highways and national roads | Economic activity""]",,"[""Latin America and Caribbean""]","[""Bolivia"", ""Ecuador"", ""Paraguay""]",,"[""Impact evaluations""]",33435,"[""2163""]","[""Highways and national roads""]",,Bolivia|| Paraguay|| Ecuador|| Night-time lights (NTL)|| Highway development,"[""2202""]","[""Economic activity""]",Published working paper,RPRT,33435,Published,Completed,Roads Illuminate Development: Using Nightlight Luminosity to Assess the Impact of Transport Infrastructure,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/roads-illuminate-development--using-nightlight-luminosity-to-assess-the-impact-of-transport-infrastructure/33435,2022
,"Lenz, Nela Vlahinic; Skender, Helga Pavlic; Mirkovic, Petra Adelajda","[""Highways and national roads | Economic activity"", ""Railways and intermunicipal trains | Economic activity""]",,"[""Europe and Central Asia""]","[""Estonia"", ""Latvia"", ""Lithuania"", ""Poland"", ""Czech Republic"", ""Slovak Republic"", ""Hungary"", ""Slovenia"", ""Croatia"", ""Romania"", ""Bulgaria""]",10.1080/1331677X.2018.1523740,"[""Impact evaluations""]",33411,"[""2163"", ""2164""]","[""Highways and national roads"", ""Railways and intermunicipal trains""]",ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA,Transport|| Transport Infrastructure|| Economic Growth|| POLS|| Fixed Effects|| Random effects,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33411,Published,Completed,The Macroeconomic Effects of Transport Infrastructure on Economic Growth: The Case of Central and Eastern EU Member States,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-macroeconomic-effects-of-transport-infrastructure-on-economic-growth--the-case-of-central-and-eastern-eu-member-states/33411,2019
,"Elburz, Zeynep; Nijkamp, Peter; Pels, Eric","[""Highways and national roads | Economic activity""]",,"[""Europe and Central Asia""]","[""Turkey""]",https://doi.org/10.1016/j.jtrangeo.2016.10.013,"[""Impact evaluations""]",33357,"[""2163""]","[""Highways and national roads""]",EUROPEAN JOURNAL OF TRANSPORT AND INFRASTRUCTURE RESEARCH,regional growth|| Transport Infrastructure|| Turkey,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33357,Published,Completed,Public Infrastructure and Regional growth: Evidence from Turkey,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/public-infrastructure-and-regional-growth--evidence-from-turkey/33357,2017
,"Chatterjee, Santanu; Lebesmuehlbacher, Thomas; Narayanan, Abhinav","[""Highways and national roads | Economic activity""]",,"[""South Asia""]","[""India""]",10.1016/j.jdeveco.2021.102625,"[""Impact evaluations""]",33319,"[""2163""]","[""Highways and national roads""]",Journal of Development Economics,informal sector|| Formal Sector|| Public Investment|| Output elasticity|| Quantile Regressions|| Golden Quadrilateral|| infrastructure|| manufacturing|| India,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33319,Published,Completed,How Productive Is Public Investment? Evidence From Formal and Informal Production in India,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/how-productive-is-public-investment--evidence-from-formal-and-informal-production-in-india/33319,2021
,"Bottasso, Anna; Conti, Maurizio; Costacurta de Sa Porto, Paulo; Ferrari, Claudio; Tei, Alessio","[""Highways and national roads | Economic activity""]",,"[""Latin America and Caribbean""]","[""Brazil""]",10.1016/j.retrec.2021.101086,"[""Impact evaluations""]",33305,"[""2163""]","[""Highways and national roads""]",Research in Transportation Economics,Transport Infrastructure|| Regional Development|| Brazil|| Difference In Differences,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33305,Published,Completed,Roads to Growth: The Brazilian Way,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/roads-to-growth--the-brazilian-way/33305,2021
,"Bertazzini, Mattia","[""Highways and national roads | Economic activity""]",,"[""Sub-Saharan Africa""]","[""Multi-country""]",10.1093/jeg/lbaa017,"[""Impact evaluations""]",33293,"[""2163""]","[""Highways and national roads""]",JOURNAL OF ECONOMIC GEOGRAPHY,Roads|| Urbanization|| colonialism,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33293,Published,Completed,"The Long-Term Impact of Italian Colonial Roads in the Horn of Africa, 1935-2015",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/the-long-term-impact-of-italian-colonial-roads-in-the-horn-of-africa--1935-2015/33293,2022
,Gupta Saurabh,"[""Highways and national roads | Economic activity""]",,"[""South Asia""]","[""India""]",NO DOI,"[""Impact evaluations""]",34384,"[""2163""]","[""Highways and national roads""]",the University of Oregon,Golden Quadrilateral|| India|| manufacturing,"[""2202""]","[""Economic activity""]",Thesis,Thesis,34384,Published,Completed,Do Highways Affect Manufacturing Growth? A Cautionary Tale from India,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/do-highways-affect-manufacturing-growth--a-cautionary-tale-from-india/34384,2022
,"Kim, Jin; Han, Jung","[""Highways and national roads | Economic activity""]",,"[""East Asia and Pacific""]","[""Korea, Rep.""]",10.1016/j.habitatint.2015.11.009,"[""Impact evaluations""]",33402,"[""2163""]","[""Highways and national roads""]",HABITAT INTERNATIONAL,,"[""2202""]","[""Economic activity""]",Journal article,JOUR,33402,Published EGM,Completed,Straw Effects of New Highway Construction on Local Population and Employment Growth,ier,https://www.sciencedirect.com/science/article/abs/pii/S0197397515002489?casa_token=VYxx6abF7CYAAAAA:Xk7V3gajXKoUak0Uf_XZ1OgPmGtRIjhDXiIEvd2zmFwC6iI46nX0gFRXuJ9GSvFeRJcAYM0GkrY,2016
,"Volpe Martincus, Christian; Carballo, Jerónimo; Cusolito, Ana","[""Highways and national roads | Trade and migration""]",,"[""Latin America and Caribbean""]","[""Peru""]",10.1016/j.jdeveco.2016.10.002,"[""Impact evaluations""]",16961,"[""2163""]","[""Highways and national roads""]",Journal of Development Economics,Transport Infrastructure|| Export Growth|| Employment|| road construction|| Firms,"[""2203""]","[""Trade and migration""]",Journal article,JOUR,16961,Published,Completed,"Roads, Exports and Employment: Evidence from a Developing Country",ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/roads--exports-and-employment--evidence-from-a-developing-country/16961,2017
,"Blyde, Juan; Volpe, Christian","[""Highways and national roads | Trade and migration""]",,"[""Latin America and Caribbean""]","[""Chile""]",10.1016/j.jinteco.2012.11.001,"[""Impact evaluations""]",34530,"[""2163""]","[""Highways and national roads""]",Journal of International Economics,,"[""2203""]","[""Trade and migration""]",Journal article,JOUR,34530,Published EGM,Completed,Shaky Roads and Trembling Exports: Assessing the Trade Effects of Domestic Infrastructure Using a Natural Experiment,ier,http://www.sciencedirect.com/science/article/pii/S0022199612001705,2013
,"Duranton, Gilles; Turner, Matthew A.","[""Highways and national roads | Trade and migration""]",,"[""North America""]","[""United States""]",10.1093/restud/rdt039,"[""Impact evaluations""]",34519,"[""2163""]","[""Highways and national roads""]",Review of Economic Studies,,"[""2203""]","[""Trade and migration""]",Journal article,JOUR,34519,Published EGM,Completed,Roads and Trade: Evidence from the US,ier,https://academic.oup.com/restud/article-abstract/81/2/681/1519232?redirectedFrom=fulltext,2014
,"Santagata, Marta","[""Highways and national roads | Trade and migration""]",,"[""Europe and Central Asia""]","[""Italy""]",10.1111/pirs.12711,"[""Impact evaluations""]",33893,"[""2163""]","[""Highways and national roads""]",Papers in Regional Science,,"[""2203""]","[""Trade and migration""]",Journal article,JOUR,33893,Published EGM,Completed,Roads and Intra-National Trade: Evidence from Italian Regions,ier,https://www.sciencedirect.com/science/article/pii/S1056819023000714,2022
,"Gachassin, Marie","[""Highways and national roads | Trade and migration""]",,"[""Sub-Saharan Africa""]","[""Tanzania""]",10.1093/jae/ejt004,"[""Impact evaluations""]",33527,"[""2163""]","[""Highways and national roads""]",Journal of African Economies,Migration|| National roads|| TANZANIA|| Road network,"[""2203""]","[""Trade and migration""]",Journal article,JOUR,33527,Published,Completed,Should I Stay or Should I Go? The Role of Roads in Migration Decisions,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/should-i-stay-or-should-i-go--the-role-of-roads-in-migration-decisions/33527,2013
,"Kim, Hyun-Woo; Lee, Du-Heon","[""Highways and national roads | Trade and migration""]",,"[""East Asia and Pacific""]","[""Korea, Rep.""]",10.3390/su142114477,"[""Impact evaluations""]",33400,"[""2163""]","[""Highways and national roads""]",SUSTAINABILITY,,"[""2203""]","[""Trade and migration""]",Journal article,JOUR,33400,Published EGM,Completed,Impact of Highway Construction on Internal Migration: A Korea Perspective,ier,https://www.mdpi.com/2071-1050/14/21/14477,2022
,"Zhangallimbay, Donald; Ordoñez, Martín","[""Highways and national roads | Agricultural outcomes""]",,"[""Latin America and Caribbean""]","[""Ecuador""]",10.47550/RCE/32.1.3,"[""Impact evaluations""]",26364,"[""2163""]","[""Highways and national roads""]",Other,Road Infrastructure|| study segment|| benefited and non-benefited areas|| Productivity|| cultivated production area|| effects,"[""2204""]","[""Agricultural outcomes""]",Journal article,JOUR,26364,Published,Completed,Eficiencia en la Producción Agrícola: Un Análisis del Efecto de la Construcción de Carreteras en Zonas Productivas del Ecuador,ier,https://developmentevidence.3ieimpact.org/search-result-details/impact-evaluation-repository/eficiencia-en-la-producción-agrícola--un-análisis-del-efecto-de-la-construcción-de-carreteras-en-zonas-productivas-del-ecuador/26364,2022
